Date:2017-12-03 11:59:25,918 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:00:01,945 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:00:01,983 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:00:02,450 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:00:02,491 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:02:23,042 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:02:23,094 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:02:23,587 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:02:24,100 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:02:24,747 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:02:27,457 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:02:27,502 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:02:27,964 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:02:28,010 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:02:37,729 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:02:37,773 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:02:38,238 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:02:38,279 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:04:06,621 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:04:06,656 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:04:07,129 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:04:07,162 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:04:14,361 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:04:14,414 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:04:14,881 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:04:14,930 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:05:04,349 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:05:04,411 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:05:04,852 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:05:04,914 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:05:24,303 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:05:24,359 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:05:24,820 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:05:24,871 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:06:27,618 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:06:27,688 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:06:28,132 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:06:28,206 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:06:30,543 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:06:30,593 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:06:31,066 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:06:31,115 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:08:11,319 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:08:11,354 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:08:11,837 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:08:11,867 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:11:37,515 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:11:37,584 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:11:38,017 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:11:38,090 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:12:12,886 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:12:13,393 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:12:13,417 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:12:13,431 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:12:46,240 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:12:46,292 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:12:46,754 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:12:46,793 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:13:13,736 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:13:13,780 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:13:14,256 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:13:14,294 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:13:47,373 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:13:47,449 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 12:13:47,875 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 12:13:47,950 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 12:13:53,591 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 12:13:53,644 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
